frame,rally_id,player_id,speed_kmh,ball_x,ball_y,court_x,court_y,shot_type
6214,10,1,304.0,644,634,55.3515510559082,277.57611083984375,
6258,10,1,283.1,1137,455,480.0865173339844,-650.82666015625,
6260,10,1,74.0,1177,479,512.8878173828125,-501.1255187988281,
6263,10,1,36.3,1351,379,746.2427978515625,-1221.1480712890625,
6265,10,1,411.3,1272,480,604.980712890625,-498.18939208984375,
6267,10,1,305.4,1247,470,584.6508178710938,-559.0311279296875,
6318,10,2,17.1,747,682,144.7491455078125,459.6354675292969,
6319,10,2,75.1,763,671,154.80274963378906,419.1648864746094,
6340,10,1,33.9,1060,485,398.6409606933594,-461.1894226074219,
6341,10,1,43.1,1065,489,402.8765869140625,-437.639892578125,
6343,10,1,57.2,1091,488,427.85986328125,-444.3599548339844,
6344,10,1,29.5,1102,486,438.75909423828125,-456.5733337402344,
6352,10,1,75.6,1139,541,461.9761962890625,-153.84078979492188,
6353,10,1,55.4,1146,547,466.9295959472656,-123.4867172241211,
6365,10,1,148.6,1196,618,493.61474609375,203.6799774169922,
6368,10,1,15.5,1142,493,475.4607849121094,-416.5569763183594,
6374,10,1,124.9,1054,288,427.23052978515625,-2089.883544921875,
6376,10,1,124.9,1031,243,405.5980529785156,-2653.565673828125,
6401,10,1,148.4,850,51,30.316492080688477,-7092.80712890625,
6402,10,1,149.1,843,53,15.315291404724121,-7011.35595703125,
6444,10,2,123.6,384,259,-492.03448486328125,-2371.46875,
6471,10,2,96.2,706,593,93.71912384033203,103.16253662109375,
6472,10,2,216.5,727,567,104.61453247070312,-16.641571044921875,
6497,10,1,33.4,1049,354,407.21234130859375,-1419.370849609375,
6558,10,1,243.6,948,593,293.192138671875,98.96914672851562,
6560,10,1,185.0,925,633,275.5666198730469,269.7392272949219,
6564,10,1,392.6,992,619,328.864501953125,210.95591735839844,
6566,10,2,14.9,997,627,332.6128845214844,244.18777465820312,
6706,10,1,295.7,834,494,184.4835205078125,-401.37872314453125,
6707,10,1,151.9,815,480,163.93324279785156,-483.20635986328125,
6709,10,1,157.5,859,547,214.57215881347656,-116.96725463867188,
6738,10,1,102.5,583,426,-86.55674743652344,-824.3192749023438,
6751,10,1,54.1,608,605,17.634540557861328,157.3122100830078,
6752,10,1,110.7,615,591,18.467233657836914,95.83509826660156,
